"ArtistID","AliasID"
55,2650
102,2285
165,416
171,4066
237,186
248,4979
252,2332
254,4187
278,4528
279,1720
298,795
306,3924
309,301
320,3758
331,646
367,2633
383,144
420,1675
492,4767
511,4042
528,371
540,4817
553,3083
562,1923
566,5101
569,1418
569,2918
570,2923
579,1499
595,27
597,711
603,604
613,4228
669,1812
687,57
707,4553
750,2409
750,1701
767,1937
806,2679
875,1116
904,5342
904,5182
931,3353
938,125
938,4487
943,4695
977,1702
977,1703
977,1918
996,996
1026,516
1088,2002
1103,4505
1110,12
1122,4100
1130,1916
1144,419
1159,3882
1162,841
1184,3722
1190,2214
1223,2431
1227,1819
1321,1665
1349,2556
1366,1650
1373,1624
1374,2673
1396,5461
1405,572
1453,4705
1458,1472
1461,2768
1513,3898
1518,1640
1520,4526
1560,2742
1575,1741
1604,1603
1604,1692
1604,1609
1604,1610
1612,43
1616,2916
1616,4108
1627,4823
1627,3315
1633,1129
1661,4603
1667,4738
1674,1626
1713,1342
1735,1996
1764,4606
1769,3609
1786,4734
1787,1783
1791,3959
1828,2801
1876,334
1876,615
1951,4291
1958,4749
1998,5171
2079,4939
2087,5348
2092,5482
2125,2089
2134,2998
2134,5390
2140,4123
2244,65
2349,4513
2523,3741
2625,5104
2699,22
2890,2889
2916,600
2995,4825
2995,3714
3028,4186
3031,649
3031,3031
3036,2117
3249,4172
3262,5394
3271,2771
3298,4054
3300,3943
3304,5069
3304,4764
3392,1592
3401,2017
3410,5379
3488,3495
3573,3881
3652,4162
3696,5317
3793,2188
3800,3220
3813,4072
3943,3300
3955,883
3968,1027
4002,2464
4093,233
4093,1574
4103,992
4119,4135
4135,4119
4156,1863
4156,5221
4164,3652
4179,5369
4191,5410
4209,1369
4342,4957
4351,4352
4387,242
4483,4609
4658,5088
4676,1178
4867,3551
4874,4795
4915,4969
4928,5037
4970,3122
5090,5102
5114,2382
5133,5136
5168,1432
5397,5396
5397,1289
5437,332
5441,3200
5457,5505
318,1371
862,51
1156,4027
4226,1288
3015,1436
2458,2459
2234,337
1338,4641
948,5148
337,2234
325,5638
5693,1870
5215,4357
1390,4296
5465,5739
5402,5724
5349,5715
4952,4281
3304,4010
2875,526
756,3167
346,2965
306,5744
306,5746
